Country,Region,Sales Person,Date of Purchase,Total,Quantity
India,North,John,8/28/2016 0:00:00,100000,567
US,North,Bill,4/27/2018 0:00:00,120000,3000
UK,North,Thomas,8/21/2011 0:00:00,140000,345
Australia,East,John,2/11/2014 0:00:00,160000,1000
Africa,East,Bill,7/30/2011 0:00:00,180000,123
Singapore,East,Thomas,7/20/2014 0:00:00,200000,1000
Mylasia,West,John,5/17/2015 0:00:00,1000000,7890
India,West,Bill,3/8/2015 0:00:00,240000,200
US,West,Thomas,11/29/2012 0:00:00,26000000,1000
UK,North,John,2/12/2015 0:00:00,100000,1000
Australia,North,Bill,6/5/2016 0:00:00,120000,567
Africa,North,Thomas,5/21/2014 0:00:00,140000,1000
Singapore,East,John,12/24/2010 0:00:00,160000,892
Mylasia,East,Bill,12/3/2018 0:00:00,180000,444
India,East,Thomas,9/30/2014 0:00:00,200000,90
US,West,John,2/10/2018 0:00:00,220000,90
UK,West,Bill,11/4/2010 0:00:00,240000,90
Australia,West,Thomas,8/30/2014 0:00:00,260000,90
Africa,North,John,12/2/2015 0:00:00,140000,85
Singapore,North,Bill,4/22/2010 0:00:00,150000,85
